STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-02-14,10,",,7",1.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-02-15,1.7,",,7",-1.7,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-02-16,4.4,",,7",-1.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-02-17,18.9,",,7",-0.6,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-02-18,18.3,",,7",5.6,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-02-19,13.3,",,7",3.9,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-02-20,15,",,7",3.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-02-21,17.8,",,7",6.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-02-22,18.9,",,7",11.7,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-02-23,15,",,7",2.8,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-02-24,6.1,",,7",0.6,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-02-25,1.1,",,7",-5,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-02-26,8.9,",,7",-3.9,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-02-27,8.3,",,7",1.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-02-28,14.4,",,7",4.4,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-01,11.7,",,7",0,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-02,1.1,",,7",-2.2,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-03,0,",,7",-5.6,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-04,2.8,",,7",-2.8,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-05,15.6,",,7",0.6,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-06,17.2,",,7",10.6,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-07,17.8,",,7",7.2,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-08,10.6,",,7",5,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-09,5.6,",,7",1.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-10,2.8,",,7",-5,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-11,-3.3,",,7",-7.2,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-12,-0.6,",,7",-5,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-13,-1.1,",,7",-3.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-14,-2.2,",,7",-6.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-15,0.6,",,7",-6.7,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-16,5,",,7",-4.4,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-17,8.9,",,7",1.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-18,6.7,",,7",3.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-19,9.4,",,7",1.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-20,10,",,7",3.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-21,9.4,",,7",0,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-22,0.6,",,7",-2.2,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-23,10,",,7",0,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-24,26.1,",,7",3.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-25,7.2,",,7",3.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-26,15.6,",,7",5.6,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-27,10.6,",,7",3.9,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-28,5.6,",,7",1.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-29,6.1,",,7",0.6,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-30,5.6,",,7",3.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-03-31,4.4,",,7",2.2,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-01,8.9,",,7",2.8,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-02,10,",,7",5,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-03,7.8,",,7",5,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-04,8.9,",,7",5,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-05,5.6,",,7",3.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-06,6.7,",,7",2.8,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-07,8.9,",,7",3.9,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-08,18.9,",,7",5.6,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-09,23.9,",,7",14.4,",,7"
